yyyy,mm,tmin
2013,9,6.3
2013,10,5.6
2013,11,-1
2013,12,1.5
2014,1,0.3
2014,2,0.6
2014,3,1.4
2014,4,2.6
2014,5,4.7
2014,6,8.7
2014,7,8.3
2014,8,7.1
2014,9,8
2014,10,4.8
2014,11,2.2
2014,12,-1.7
2015,1,-1.4
2015,2,-1.4
2015,3,0.1
2015,4,0.5
2015,5,3.1
2015,6,6
2015,7,8.2
2015,8,8.4
2015,9,5.6
2015,10,2.3
2015,11,1.5
2015,12,1
2016,1,-0.7
2016,2,-2.8
2016,3,-0.7
2016,4,0.3
2016,5,3.7
2016,6,7.4
2016,7,9
2016,8,8.2
2016,9,8.7
2016,10,2.4
2016,11,-2.5
2016,12,1.5
2017,1,-1.4
2017,2,-0.1
2017,3,-0.2
2017,4,1.9
2017,5,3.4
2017,6,8.2
2017,7,8.3
2017,8,8.1
2017,9,6.8
2017,10,5.8
2017,11,0
2017,12,-1.6
2018,1,-1.8
2018,2,-2.5
2018,3,-2.2
2018,4,1.4
2018,5,4
2018,6,7.8
2018,7,9.8
2018,8,7.9
2018,9,6
2018,10,3
2018,11,1.2
2018,12,-0.3
2019,1,-3.6
2019,2,-0.4
2019,3,1.5
2019,4,1
2019,5,2.8
2019,6,6.2
2019,7,10.6
2019,8,9.1
2019,9,6.2
2019,10,2
2019,11,-0.8
2019,12,0.4
2020,1,1.3
2020,2,-1.7
2020,3,0
2020,4,-0.4
2020,5,3.7
2020,6,7.9
2020,7,7.6
